title,country,stance,reach,age,weightClass,trainingCenter,wins,loses,draws,tkos,tko wins,tko lose,subs,subs win,subs lose
Preston Harris,,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Tae Ho Jin,,,,29,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
David Putvin,USA,,,26,Lightweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Ryan Smith,USA,,,33,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Dioginis Souza,,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Michiel Opperman,SOUTH AFRICA,,,,Middleweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Claudio Cezario,,,,35,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Drew Kennedy,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Steve Mann,,,,,Welterweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Jake Oyler,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Travis Yonkers,,,,29,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
David Martin,USA,,,,,,0,0,0,0 - 0,0,0,0 - 0,0,0
Carl Culpepper,USA,,,,,,1,0,0,0 - 0,0,0,0 - 0,0,0
Mohammed Usman,USA,,,29,,,0,1,0,0 - 0,0,0,0 - 0,0,0
Borislav Jeliazkov,BULGARIA,,,,Heavyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Evgeni Myakinkin,RUSSIA,,,,Heavyweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Charles Gamble,,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Pedro Paulo dos Santos,BRAZIL,,,32,Middleweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Mike Weir,,,,50,Middleweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Adam Albright,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Shane Jones,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Harry Duiven Jr.,NETHERLANDS,,,31,,,0,1,0,0 - 0,0,0,0 - 0,0,0
Sofiane Boukichou,FRANCE,,,,,,0,1,0,0 - 0,0,0,0 - 0,0,0
Rodrigo Artilheiro,USA,,,,,,0,1,0,0 - 0,0,0,0 - 0,0,0
Ali Isaev,RUSSIA,,,,,,0,0,0,0 - 0,0,0,0 - 0,0,0
Todd Stoute,CANADA,,,,Light Heavyweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Rihards Bigis,LATVIA,,,25,Light Heavyweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Jake Collier,USA,,,29,Middleweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Kenny McCorkell,USA,,,,Middleweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Jake Gombocz,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Josh Schockman,,,,37,Heavyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Justin Colburn,USA,,,,Heavyweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Paul Holt,USA,,,,Heavyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jedrzej Mackowiak,POLAND,,,,Heavyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Arturo Rivas,USA,,,,Heavyweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Brandon Leibrandt,,Southpaw,,,Light Heavyweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Livingston Lukow,USA,,,29,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Damian Skarzynski,,,,30,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Bi Nguyen,USA,,,,Atomweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Naomi Okaki,JAPAN,,,,Atomweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Priscilla Hertati Lumban Gaol,,,,30,Atomweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Madoka Ebihara,,,,,Atomweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Lisa Higo,,,,,Atomweight,,2,0,0,0 - 0,0,0,0 - 0,0,0
Mariah Reed,,,,,Atomweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Konklak Suphisara,THAILAND,,,,Atomweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Shaun Marmas,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Raymond Tan,,,,30,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Michael Brasher,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Randy Turner,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jose Acuna,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Sandra Ameziane,FRANCE,,,,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Mohammad Babadivand,SWEDEN,,,,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Maria Bals,FRANCE,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Ernie Braca,,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Randy Costa,,,,,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Scott Ettling,,,,,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Ruslan Fredkin,ISRAEL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Keeton Gorton,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Brad Grelck,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Carlos Hernandez,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Natsuko Kikukawa,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Yoon Jin Lee,SOUTH KOREA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Patrick Leondes,PHILIPPINES,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Marvin Maldonado,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Heber Maracaipe Pessoa,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Levy Saul Marroquin Salazar,MEXICO,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Fabiulane Melo,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Clifford Moulton,USA,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Fazlo Mulabitinovic,,,,,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Victor Nunes,BRAZIL,,,26,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Satoru Ota,JAPAN,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Rogerio Pereira,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Alexander Sasha Pirev,,,,32,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Dayane Souza,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Geoffrey Then,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
James Villas,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Austin Warner,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Daniel Aguirre,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
David Aguirre,,,,,Bantamweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
Ralph Alvarado,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Eric Alvarez,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Thomas Back,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Jeff Bourgeois,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Chad Bratton,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Shane Brenner,,,,,Bantamweight,,1,3,0,0 - 0,0,0,0 - 0,0,0
James Carey,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Gabriel Carrasco,,,,,Bantamweight,,2,0,0,0 - 0,0,0,0 - 0,0,0
Josh Chaves,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Marcelo Cobra,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Sergio da Silva,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Rick Desper,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Lindsey Durlacher,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Leandro Escobar,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Ronaldo Figueiredo,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Hidekazu Fukushima,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Marc Gomez,,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Leandro Gontijo,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Dai Shaung Hai,,,,,Bantamweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
Nobuhiro Hayakawa,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Steve Hecht,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Walt Hughes,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Miwako Ishihara,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Amaury Junior,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Mike Justus,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jim Kikuchi,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Min Woo Kim,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Seong Guk Kim,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Rob Menigoz,,,,,Bantamweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Octavio Moreles,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Christian Nielson,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Hirokazu Nishimura,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Fabio Oliveira,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Ricky Olson,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Gwang-Su Park,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Olivier Pastor,,,,,Bantamweight,,0,5,0,0 - 0,0,0,0 - 0,0,0
Thiago Santana,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Mauricio Santos Jr.,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Sean Shakour,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Akira Shimazu,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Masato Shiozawa,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Danilo Silva,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Linson Simanjuntak,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Andres Soares,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Rambaa Somdet,,,,,Bantamweight,,1,2,0,0 - 0,0,0,0 - 0,0,0
Emerson Souza,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jason Taylor,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Anibal Torres,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Tinh Tupy,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
William Vianna,,,,,Bantamweight,,1,2,0,0 - 0,0,0,0 - 0,0,0
Jin Akimoto,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Taku Aramaki,JAPAN,,,44,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
James Barris,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Christian Buron,USA,,,,Bantamweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Tomas Covarrubias,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Danilo de Oliveria Camilo,,,,31,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Adilson Dias,,,,32,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Claudir Dutkevis,,,,34,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Akitoshi Hokazono,,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Kentaro Imaizumi,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Shin Kato,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Travis Knight,,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Takuya Kuwabara,,,,,Bantamweight,,1,2,1,0 - 0,0,0,0 - 0,0,0
Zech Lange,,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Fabiano Lucas,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Thaddeus Malbreaux,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Cody Maltais,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Ryota Matsune,,,,,Bantamweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
John McLaughlin,,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Takumi Murata,JAPAN,,,38,Bantamweight,,0,4,0,0 - 0,0,0,0 - 0,0,0
Takuro Nishimura,JAPAN,,,38,Bantamweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
Seiji Otsuka,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Mikey Poling,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Brad Royster,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Everaldo Souza,,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Yohei Tagami,JAPAN,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Kenji Takeshige,,,,41,Bantamweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
Kosuke Terashima,,,,29,Bantamweight,,0,3,0,0 - 0,0,0,0 - 0,0,0
Hiroshi Tomita,JAPAN,,,34,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Brandon Urquijo,USA,,,26,Bantamweight,,2,3,0,0 - 0,0,0,0 - 0,0,0
Tommy Vargas,,,,,Bantamweight,,1,2,0,0 - 0,0,0,0 - 0,0,0
Jesse Wabie,,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Shota Watanabe,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Satoshi Yamashita,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Yanfei Zhao,,,,,Bantamweight,,0,3,0,0 - 0,0,0,0 - 0,0,0
Travis Calanoc,,Orthodox,,,Catch Weight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Edgar Cardenas,,,,,Catch Weight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Thomas Longacre,,Orthodox,,,Catch Weight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Rafael Rios,,,,,Catch Weight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Dave Martin,USA,,,,Catch Weight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Jetron Azevedo,BRAZIL,,,,Catchweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Israel Silva,,,,,Catchweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Cica Cica,,,,,Catchweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Claudinei Rodriguez Lacerda,,,,,Catchweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Rami Aziz,,,,26,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Julio Cesar Camillo,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Vovka Clay,USA,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Masaya Doi,JAPAN,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Chase Gibson,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Viktor Kolesnik,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Kamil Korycki,,,,31,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Leonardo Laiola,BRAZIL,,,38,Featherweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Jesus Pinedo,PERU,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Matt Tullos,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jorge Valle,COLOMBIA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Takayuki Hirose,JAPAN,,,39,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Gabriele Nanosetti,ITALY,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jack Murphy,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Eric LeClerc,CANADA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Caleb Lally,NEW ZEALAND,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Masamitsu Nakamura,JAPAN,,,,Featherweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
Cooper Gibson,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Den Lyn,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Thiago Aguiar dos Santos,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Nasir Aoubi,SWEDEN,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Giorgi Aptsiauri,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Wesley Batista,BRAZIL,,,,Featherweight,,2,0,0,0 - 0,0,0,0 - 0,0,0
Bruno Borges,PORTUGAL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Gregg Dalton,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Dominic Dillon,ENGLAND,,,,Featherweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Rafael Domingos,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Alexis Dufrense,,,,,Featherweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Dzhavatkhan Dzhavatkhanov,RUSSIA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Alessandro Ferreira,,,,,Featherweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Jackson Galka,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Justin Houghton,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Young Joon Lee,SOUTH KOREA,,,,Featherweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Alex Leite,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Bradford May,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Marcos Nardini,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Thiago Luis Nascimento,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Charles O'Lena,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Orlando Pacheco,MEXICO,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Wilker Ribeiro da Costa,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Dingo Sampaio,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Valderi Silva,BRAZIL,,,41,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jamil Silveira,,,,,Featherweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Ermek Tlauov,KAZAKHSTAN,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Tomas Tomas,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Vitaly Ulich,BELARUS,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Shota Utsunomiya,JAPAN,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Adam Ventre,ENGLAND,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Jason McLean,,,,,Featherweight,AMA Fight Club,3,2,0,0 - 0,0,0,0 - 0,0,0
Marcelo Ferreira,,,,,Featherweight,American Top Team,0,1,0,0 - 0,0,0,0 - 0,0,0
Renato Tavares,,,,,Featherweight,American Top Team,0,1,0,0 - 0,0,0,0 - 0,0,0
Takaaki Aoki,,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Fernando Bernandino,,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Eddie Castro,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Brian Clayton,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Victor Delgado,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Matt Dell,,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Marcos dos Santos,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Astemir Fakov,,,,,Featherweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
TUF Finalist 2,,,,,Featherweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Matt Fiordirosa,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Johnny Gomez,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Hikaru Hasumi,,,,,Featherweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Daiki Hata,,Orthodox,,,Featherweight,,1,5,0,0 - 0,0,0,0 - 0,0,0
Hisaki Hiraishi,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Dave Hisquierdo,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Yusuke Kagiyama,,,,,Featherweight,,1,0,1,0 - 0,0,0,0 - 0,0,0
Ken Kellenberger,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Dae Myung Kim,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jong Man Kim,,Orthodox,,,Featherweight,,2,2,0,0 - 0,0,0,0 - 0,0,0
Yves Landu,,,,,Featherweight,,1,2,0,0 - 0,0,0,0 - 0,0,0
Jamie Mackinnon,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Michal Mankiewicz,,,,,Featherweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Fabricio Medeiros,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Russell Medeiros,USA,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Russ Miura,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Abdul Mohamed,,,,,Featherweight,,2,2,2,0 - 0,0,0,0 - 0,0,0
Rie Murakami,JAPAN,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Yohei Nanbu,,,,,Featherweight,,0,1,1,0 - 0,0,0,0 - 0,0,0
Carlos Ortega,,,,,Featherweight,,0,6,0,0 - 0,0,0,0 - 0,0,0
Steve Polifonte,,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Eddie Rincon,,,,,Featherweight,,0,3,0,0 - 0,0,0,0 - 0,0,0
Duke Saragosa,,,,,Featherweight,,1,2,0,0 - 0,0,0,0 - 0,0,0
Dustin Severs,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Scott Shaffer,,Orthodox,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
David Silva,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Marlon Silva,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Oma Tashuev,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Ben Thomas,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Ikuo Usuda,,,,,Featherweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Teh Kah Wei,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Takeshi Yamazaki,,Southpaw,,,Featherweight,,1,6,0,0 - 0,0,0,0 - 0,0,0
Steve Adams,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
David Armas,,,,,Featherweight,,0,9,0,0 - 0,0,0,0 - 0,0,0
Gary Baugh,,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Taigro Costa,BRAZIL,,,30,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Atsuko Emoto,JAPAN,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jay Furness,,,,,Featherweight,,1,2,0,0 - 0,0,0,0 - 0,0,0
Shannon Hooper,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Evgeniy Ignatiev,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jung Hun Jo,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Bartlomiej Kurczewski,POLAND,,,,Featherweight,,0,3,0,0 - 0,0,0,0 - 0,0,0
Andrii Liezhniev,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Daniel Lucas,,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Nicole Meyer,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Charlie Mills,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Julio Rosario,,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Baba Shigeyasu,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Antoine Smith,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Yunus Tagirov,,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Justin Taveirne,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Muslim Umaev,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Valery Varankin,,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
David Yeung,,,,,Featherweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
